店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
OK海鲜自助餐厅(五四北旗舰店),5528165,综合自助,蓝海一家时尚自助餐厅,1654353,,4.5,80,97,五四北,96,26.139862,119.324059,晋安区秀峰路泰禾广场5楼,5,"4285,4283,",免费停车,单人午餐97元;,周一至周日 10:30-14:30,0591-87677066,349093,碧海蓝天下，欢乐无限量！ 一人一锅 / 养生锅底 / 蘸酱自助 / 平价海鲜 新鲜肉类 / 四时鲜蔬 / 招牌特饮 / 精制甜点 [蓝海一家时尚自助餐厅] 餐厅面积1800㎡，福建省首家地铁闸体验式餐厅！ 以蓝色海洋为主题，内设多种特色用餐区：救生筏区、甲板区、游轮码头……海洋生物3D装饰墙、海洋生态箱……营造年轻时尚、新鲜活力的用餐氛围，琳琅满目的精选新鲜菜品让您在蓝色海洋里畅饮、畅涮、畅享。 [蓝海一家时尚自助餐厅]，是福建首家以蓝色海洋氛围为主题的特色自助火锅、自助烧烤品牌餐厅。餐厅主营时令海鲜、鲜美肉类、四时果蔬、招牌特饮、精致小点，同时引入海盗船长主题、时尚欢乐舞蹈！将“碧海蓝天下，欢乐无限量！”自助新理念带给寻求新鲜感、健康乐活的时尚年轻 消费者，不仅仅创新火锅、烧烤的业态，还在尽力营造着城市新一代体验“身临其境”的个性主题用餐平台,,False,0,207,349093,True,False
乐烧自助烤肉(宝龙城市广场店),1413381,烤肉自助,乐烧,159518,http://p0.meituan.net/poi/48d15594b91481cc3b9515a2ebcd221a100711.png,3.8,62,64.8,宝龙城市广场,97,26.06139,119.29168,台江区工业路193号宝龙城市广场B1层,-1,"5302,5311,",,单人午餐64.8元，单人晚餐74.8元，[4]人午餐259元，[4]人晚餐299元;,周一至周日 11:30-22:30,0591-83808096,174463,乐烧自助烤肉是以韩式烤肉为特色菜系的自助式餐厅，囊括了精致烤肉、海鲜、蔬菜、水果自助沙拉百汇、特色主食、美味汤点、中西式甜点、多味冰激凌、凉菜等近百种的丰富菜品，更有进口美式牛羊肉等，选料考究，肉感鲜嫩多汁，营养丰富。乐烧烤肉均采用纸上烤肉配合植物性碳纤维远红外线无烟烤炉，让烤肉从内到外均匀烤熟，既嫩又有水份，**限度保持肉中蛋白质，碳水化合物等有益营养成份。加上精心调制的秘制蘸料，食而不腻，实为一种健康、美味、时尚的现代都市烧烤。,,False,0,615,174463,True,False
炉鱼(爱琴海购物公园店),52195222,烤鱼,,0,,4.2,73,95,红星爱琴海广场,98,26.040721,119.279611,仓山区浦上大道198号爱琴海购物公园5层,5,,,95代100元;,"周一至周五 10:00-14:00 16:30-21:30  周六,周日 10:00-15:00 16:00-21:30",0591-88192063,170805,,,False,0,429,170805,True,False
雍和会海鲜姿造(三坊七巷店),1505747,海鲜火锅,雍和会海鲜姿造,1244453,http://p0.meituan.net/poi/da3980682b81805b677a8e18b56651cf37061.png,5,109,268,东街口/三坊七巷,95,26.079524,119.295886,鼓楼区光禄坊37号（近刘家大院）,,"4282,5301,4286,5307,",免费提供50个停车位,双人餐268元，4人餐398元起，6人餐799元，8人餐999元，10人餐1699元起，6-8人餐2998元;,周一至周日 11:30-13:30 17:00-02:00,0591-88619555,169404,雍和会海鲜姿造坐落于繁华且有历史底蕴的三坊七巷光禄坊，毗邻安泰河，复古的小楼与河畔的依依杨柳构成了一幅唯美的风景画。店内装修雍容华贵，一楼是颇具风情的大厅，二楼是大气典雅的包厢，店内的服务员优雅有礼，服务周到。雍和会海鲜姿造主营海鲜姿造火锅，以海鲜作为主线菜肴，着眼一个“鲜”字，很多食材在上桌后还是鲜活的，定格在视觉、嗅觉、味觉的优质融合，精美的海鲜姿造犹如精美艺术品，让人赏心悦目，叹为观止，流连忘返；独特的裸烹食法还原食材本质美味，原汁原味。一人一锅的小火锅，方便卫生，造型美观，金属质地传热快。商家秉承着对美食的独到见解，将饮食文化的精髓色、香、味、形体现的淋漓尽致。在中华传统海鲜的基础上不断借鉴、吸取、融合及创新，追求品质的唯美，引领了海鲜餐饮的潮流和风尚。雍和会海鲜姿造是您情侣约会、三五知己小聚、商务宴请的上佳之选,,False,0,822,169404,True,False
雍和会海鲜姿造自助(湖东店),4498559,海鲜自助,雍和会海鲜姿造,1244453,http://p0.meituan.net/poi/da3980682b81805b677a8e18b56651cf37061.png,4.7,383,358,东街口,95,26.093009,119.304523,鼓楼区湖东路171号中旅大厦二楼（五四路）,,"4280,4286,",免费停车,单人午餐358元，单人晚餐408元，单人晚餐448元，[4]人午餐1340元，[4]人晚餐1742元，[6]人午餐2010元，[6]人晚餐2613元;,周一至周日 11:30-14:00 18:00-22:00,0591-88617666,163800,2014年1月份福州最贵的自助餐，最地道海鲜姿造自助—雍和会湖东路店强势亮相。您可能会觉得雍和会凭什么？号称是福州最贵的海鲜姿造自助餐！雍和会告诉您：贵，得有理由！理由之一：大家都知道吃自助餐，要吃什么？当然要吃贵的！炒菜贵吗？煮面贵吗？烧烤贵吗？西点贵吗？肉类贵吗？什么最贵呢？海鲜就是最贵的，鲜活的海鲜那是更贵了！雍和会湖东店海鲜姿造自助，没有炒菜，没有西点，没有生煎牛排，只有最新鲜最正宗的海鲜姿造！您来雍和会可以吃到高档的小青龙、虾中的精品牡丹虾、东星斑，象拔雪蚌、海胆等海鲜盛宴！理由之二：福建最正宗最地道的海鲜姿造自助。对于身处海鲜城市的福州人而言，什么样的海鲜架势没见过？可当您见到这里的海鲜明档，您还是会被吓一跳：全部都是鲜活的海鲜姿造，您见过的？您没见过的？每样都像艺术品一样等着您来享用，先甭管味道如何，光是姿造就有“震撼”效果了。这么多高档的海鲜姿造您可以无限量任意享用，不用 “哄抢”，雍和会让您用餐很从容很舒适，尽情的享受海鲜盛宴！理由之三：福州**家哈根达斯真正任意吃。“如果您爱她就请她吃哈根达斯”、“冰淇淋中的劳斯莱斯”等溢美之词，就是说这东东很贵很好吃。在雍和会享用哈根达斯，您不用排队，没有限量，您可以任取任食。对于MM而言，幸福莫过如此。煽情一点，“请她任意吃哈根达斯”岂非爱死了，哈哈。理由之四：雍和会团队重金打造最有高档大气上档次的用餐环境，独一无二的小美混搭风格。理由之五：雍和会做为福州最正宗的海鲜姿造领导者，诚意打造福州“三好”餐厅，菜品好，服务好，环境好！雍和会服务团队引进台湾团队，倡导感动服务。雍和会-款待最重要的人。,,False,0,570,163800,True,False
蓝海一家时尚自助餐厅(世欧广场店),41705893,综合自助,蓝海一家时尚自助餐厅,1654353,,3.4,80,87,世欧王庄,96,26.07109,119.326692,晋安区长乐中路世欧广场3F,3,"5305,",免费停车,单人午餐87元，单人晚餐97元;,周一至周日 10:30-21:30,0591-87677708,159289,,,False,0,484,159289,True,False
舒友海鲜大酒楼,1546884,海鲜,舒友海鲜大酒楼,946690,http://p0.meituan.net/poi/6c51d9550111019ff94dcdaa2007b35385613.png,4,81,47,乌山西路,95,26.07115,119.28843,鼓楼区黎明街15号,,"5307,",商家服务：免费提供100个停车位,47代100元;,周一至周日 10:30-14:30 17:00-22:00,0591-88569888/88509988,144932,舒友海鲜大酒楼有限公司-----荣誉“中国驰名商标”，著名全国连锁品牌企业，福州黎明店凭借雍容华贵的主楼设计、气派恢弘迎宾大堂、富丽堂皇的国宾包间、国宴式的3个不同豪华宴会厅独领高端餐饮领域。主营海鲜的基础上融汇潮、闽、粤等各大菜系为一体，特高薪聘请闽、粤潮名师掌厨，特别是原料用材经过专业鉴定师参与保证质量，全场免服务费，消费“逢百返十”长期优惠，人均200—300元的消费定位，宴会标准以1588元为低起点，宴会免费提供全程专业现场布置、浪漫水晶拱门、新颖靓丽台柱、大型LED视频、立体环绕音响、优质司仪、水晶香槟杯塔等十大项目;提供批发价的烟酒服务，免费提供同时容纳三百多车位的大型停车场。 舒友海鲜大酒楼相继推出了新派港式午茶，“相约吃茶，去舒友吧”，成为市场吃茶的流行语，茶点主厨有着20多年的烹饪经验，在港粤地区享誉很高的知名度，凭借一直经典的“酥皮榴莲”被香港明间美食协会评为“酥皮王子”，组成的舒友**实力的港式茶点烹饪班底。优雅浪漫的休闲卡座、典雅钢琴厅无不彰显尊荣与华贵，上百道原汁原味的**精品港式新派茶点，体验不一样的品味格调与休闲趣味，每一口的品尝，每一次的光临都能让人尽享**的舒适及味觉上的满足，平均40-50元的消费定位，体现的是企业的经营理念——“午茶也要做出舒友风格”。,,False,0,435,144932,True,False
潮福城大酒楼(阳光城店),1524104,粤菜,,0,,4.4,78,116,东街口,95,26.080644,119.312588,鼓楼区福新西路28号阳光城三期2楼（近东水路建设银行旁）,,"5310,",停车位收费标准：免费停车3小时,3人餐116元，2-3人餐120元，4人餐178元起，6-8人餐618元，10人餐998元起;,周一至周日 08:00-02:30,0591-87588590/87588584,144581,潮福城大酒楼——香港的潮福城大酒楼，是福州首家经营正宗潮州菜的酒楼。福新店和北尚店80余间典雅气派的贵宾房经常接待来自全国各地的政要及商务团体、外宾。超五星的服务团队，由香港名厨主理的正宗燕窝、鲍鱼、鱼翅、潮州卤水、海鲜、地道风味凉菜、广式茶点。20年来深受广大顾客欢迎。酒楼菜品选料严格，沿用传统的烹调方法，清淡、少盐、少油腻，无味精，坚持保留着食材本身鲜美的原味。设有早、午、晚茶、宵夜，并承接各类大型宴席。是商务、旅游、会议、聚宴的理想酒楼。潮福城餐饮集团奉行“宾至如归，服务**”的宗旨，我们承诺“没有最好，只有更好”的特色。,,False,0,461,144581,True,False
京都一品自助火锅烤肉(宝龙城市广场店),2431343,火锅自助,京都一品自助火锅烤肉,2049850,,3.3,60,65.8,宝龙城市广场,97,26.06147,119.291995,台江区地址也改成，台江区宝龙城市广场四层121号妈妈集市正对面（宝龙3号门手扶梯上四楼正对楼梯口）,4,"5302,5311,",,单人午餐65.8元，单人晚餐69.8元，单人午餐70元，单人晚餐75元;,周一至周日 10:30-22:00  2019-02-03至2019-02-07 休息,0591-83816687,126963,京都一品自助火锅烤肉位于福州市宝龙广场（4层）、紧邻新华都百货院，地处宝龙广场中心，交通便利。主要经营单人自助火锅、自助烤肉等菜系，店内食品分区清晰明了，拥有蔬菜、海鲜、冻品、水果、肉类、饮料等特色菜，配备烧烤专用去油烟装置，无烟自助纸上烧烤，新潮的烧烤方式，烤的开心，吃的安心。京都一品自助火锅烤肉环境清新优雅，时尚卫生，别有风情，无限量取食吃到饱才可以走。,,False,0,174,126963,True,False
盛世经典牛排·欧尚餐饮(宝龙城市广场店),1029494,自助餐,盛世经典牛排,23792,http://p0.meituan.net/poi/30ce40198634616c1a8f7d6d9909f58025230.png,3.4,52,45,宝龙城市广场,97,26.061649,119.292799,台江区工业路193号宝龙城市广场1层（近万象城）,1,"5302,5311,",有停车位,9折（买单立享）;单人餐63元起;45代50元;,周一至周日 10:30-22:30  2019-02-04 休息,0591-83802870,121433,2004年，她在福州东街绽开一段奇妙餐饮之旅，她秉承绿色健康食材理念，让都市增添一份健康活力。她默默无闻的脚步，将“健康每一天”带向中华大地每一个角落。她拥有超过100家的直营店，形成了集团化、连锁化的经营模式，她渴望健康美食成为人们生活中的息息相关。她的名字是盛世经典，一家把健康快乐的饮食文化传播给大众的企业，当您追随盛世步伐的时候，他们用经典美食触动您的味蕾。,,False,0,38,121433,True,False
